year,month,evaporation
2003,1,22.16154670715332
2003,2,21.372425079345703
2003,3,25.728031158447266
2003,4,30.654029846191406
2003,5,37.17991638183594
2003,6,41.66460418701172
2003,7,43.68038558959961
2003,8,38.833106994628906
2003,9,30.867937088012695
2003,10,26.287261962890625
2003,11,23.234268188476562
2003,12,23.04364013671875
2004,1,22.690420150756836
2004,2,22.924636840820312
2004,3,26.507553100585938
2004,4,32.02686309814453
2004,5,37.86879348754883
2004,6,41.822391510009766
2004,7,43.24583053588867
2004,8,38.11150360107422
2004,9,30.771060943603516
2004,10,26.802675247192383
2004,11,23.879638671875
2004,12,22.9383602142334
2005,1,22.333831787109375
2005,2,20.773630142211914
2005,3,25.989107131958008
2005,4,30.903392791748047
2005,5,38.64992141723633
2005,6,42.369544982910156
2005,7,43.64430618286133
2005,8,38.18497848510742
2005,9,30.637767791748047
2005,10,26.702587127685547
2005,11,23.254491806030273
2005,12,22.467863082885742
2006,1,23.363521575927734
2006,2,21.908964157104492
2006,3,27.185659408569336
2006,4,31.85172462463379
2006,5,38.72054672241211
2006,6,43.18406295776367
2006,7,43.87449264526367
2006,8,37.84626388549805
2006,9,31.1676082611084
2006,10,27.172517776489258
2006,11,23.650503158569336
2006,12,23.05451202392578
2007,1,23.742780685424805
2007,2,21.318830490112305
2007,3,27.58493995666504
2007,4,32.261688232421875
2007,5,38.8382453918457
2007,6,41.88705062866211
2007,7,42.97347640991211
2007,8,37.53468704223633
2007,9,29.97144889831543
2007,10,26.352081298828125
2007,11,23.167675018310547
2007,12,23.23715591430664
2008,1,22.209224700927734
2008,2,22.310922622680664
2008,3,26.850746154785156
2008,4,30.882450103759766
2008,5,37.83235168457031
2008,6,41.28129577636719
2008,7,42.63557434082031
2008,8,37.08066177368164
2008,9,30.210432052612305
2008,10,26.52791976928711
2008,11,24.038410186767578
2008,12,23.181575775146484
2009,1,22.354110717773438
2009,2,21.490936279296875
2009,3,26.146467208862305
2009,4,31.242599487304688
2009,5,38.232322692871094
2009,6,41.33100509643555
