,coef,SE (OLS),t (OLS),p (OLS),SE (HAC),t (HAC),p (HAC)
const,-493.9953784815329,77.73509150339493,-6.35485684685865,9.92240454760214e-10,241.51052236601035,-2.045440395896625,0.04081145981977574
temp_anom,13.55164729777541,1.3229148445032974,10.243778996117866,9.151889934149676e-21,3.0250102554334455,4.479868216457875,7.468913884256523e-06
evap,-1.528085951857709,0.24455560100881812,-6.248419359663775,1.7934918570201532e-09,0.5165882806427747,-2.9580344911354923,0.0030960747915289577
co2_avg,1.3706654239155927,0.2081745667036973,6.58421172969949,2.7086787543901165e-10,0.6510995136211579,2.105155041957402,0.0352778142834127
trend,0.0167919591537922,0.03897759191736663,0.43081058443506537,0.666980294113029,0.12135746064768815,0.1383677531168916,0.8899497811231618
m_2,-2.28245844283242,0.8674106906546193,-2.63134691262554,0.009037660088507395,0.8300016801907026,-2.7499443643391164,0.0059605384002374695
m_3,4.2629721494004675,1.284485654054597,3.318816474083618,0.001039795431576699,2.15717060515011,1.976186834375959,0.048133620461443094
m_4,9.175066893678,2.2804116899255544,4.023425653451867,7.620730058222384e-05,4.493902209783436,2.0416703491463273,0.041184241868468696
m_5,20.243397045332223,3.95913533035019,5.113085397750642,6.340716229395972e-07,8.205382966402134,2.4670874142280863,0.013621709944361848
m_6,27.01963868973298,4.755260493909113,5.682052271235554,3.720537474729174e-08,10.023611227362482,2.695599228347434,0.007026214695274424
m_7,31.21214861187521,4.987868574580075,6.25761247418251,1.7045570919132977e-09,10.569232339631558,2.953114058704027,0.003145857041866096
m_8,25.14366465174096,3.7404725943009893,6.722055573953416,1.2232753627157526e-10,7.9801678063515125,3.150768913872815,0.0016284127377048652
m_9,16.254613797741825,2.1565621474273837,7.5372804892881735,8.996574202880013e-13,4.766855112780818,3.409924030239603,0.0006498097734441988
m_10,9.43267527973472,1.4197255813499823,6.64401304283425,1.9211473897878046e-10,3.243397720114147,2.9082696892944573,0.0036343476678029063
m_11,3.642856565545791,0.9466620642006612,3.848106629921557,0.00015146913265711858,1.5531692852722738,2.3454343322963607,0.01900492607011861
m_12,1.30167959336476,0.8363814816555798,1.5563228286548663,0.12090653304571587,0.8590693481029931,1.5152206236192038,0.1297165419584343
