,coef,SE (OLS),t (OLS),p (OLS),SE (HAC),t (HAC),p (HAC)
const,-540.1223200990123,105.82071820664038,-5.104126387087014,6.688857769374507e-07,231.62233589660988,-2.3319094767272732,0.019705453832788766
temp_anom,8.345774943413048,2.4693392431117602,3.379760381929558,0.0008445399429093945,2.866509858191136,2.911476100305307,0.0035972542609958857
evap,-1.4571425403793348,0.2482086028838647,-5.870636728337425,1.410748830704085e-08,0.37793665695705625,-3.855520531169077,0.00011548363741620271
co2_avg,1.4975636514241966,0.28422940888588494,5.268855384438605,3.0171798993247204e-07,0.6172938526588738,2.426014198867737,0.01526567300831605
trend,0.0011259198232438858,0.05387318509913954,0.02089944786394055,0.9833429473938187,0.11490850152182806,0.00979840314974437,0.9921821305037504
m_2,-2.373615026615048,0.8647608150470713,-2.7448225975477922,0.0065045556855374085,0.5939452794314153,-3.996353046003351,6.432578149451196e-05
m_3,3.7002468319802495,1.2651476743519496,2.9247548780229455,0.003771877018029463,1.7588699036244984,2.103763799900812,0.03539905602170901
m_4,8.139118286133439,2.264279431905544,3.5945732542753444,0.00039308109015212853,3.6153727870284924,2.251252848761705,0.02436952735249731
m_5,18.577813516131258,3.939441639728966,4.7158494058587985,4.05186981832474e-06,6.297099696457031,2.950217467032289,0.003175503302330407
m_6,25.308126811121088,4.752110558937085,5.325660356012805,2.282983429442019e-07,7.556531614888308,3.349172358553702,0.0008105335660688606
m_7,29.681922931561267,5.042338632809926,5.8865389838009605,1.296933544968598e-08,7.7773242550483275,3.8164697726592123,0.00013537465090385226
m_8,24.229503887482537,3.8871470838806936,6.2332356776408,1.9929983625390985e-09,5.712428427480329,4.241541788239056,2.2198954639174318e-05
m_9,16.130467290819958,2.3921602998153775,6.7430545068676535,1.113991691534373e-10,3.42996617723033,4.702806516840111,2.566095686828973e-06
m_10,9.605740606055832,1.6603204214188665,5.785473985706336,2.2075385487820503e-08,2.5838370598274634,3.7176262990427342,0.00020110345461676893
m_11,3.8696271624062413,1.0369701751239226,3.731666787758677,0.00023667978279912953,1.4083180069627483,2.7476941594687694,0.006001596285544197
m_12,1.3441027183792897,0.840136518016209,1.599862271852058,0.11092312462385177,0.8516969957128792,1.5781466004283153,0.11453193460273936
dec_2010s,-6.184479117080939,2.080957833251449,-2.971938699698606,0.0032551999623291576,4.261707620951962,-1.4511739582218164,0.1467314264488453
dec_2020s,-3.89327080670175,2.5393184561446467,-1.5331951757688396,0.1265233232650125,3.6016614609466266,-1.0809652292190948,0.27971258087508044
dec_2010s_x_temp,8.192932962377807,3.0406094807238713,2.6945035244800106,0.007539082365578246,5.1441659142677345,1.5926649915497642,0.11123536514415533
dec_2020s_x_temp,3.7006508014323742,3.02662974002109,1.2226969002844026,0.22262388328222685,3.4487673583680887,1.0730357884109276,0.28325505906372683
